category,path,bytes,sha256
python_source,foresight_hil/hil/mixed_replay_buffer.py,3449,d5bffcc4890540c30bce95b011997c235764907c57e3efdc90b9dd37a33a6dc3
python_source,foresight_hil/metrics.py,896,b21c690db20b572fa979058510459272530490db43d8e177f08eb206c54d7a69
python_source,foresight_hil/models/__init__.py,83,d8585ee7a9b2fee0295492a9fd14e338f94424047982da2b54aaeec694c488c3
python_source,foresight_hil/models/ensemble_dynamics.py,3084,f51062cc1bc5d79169d1948b0baadf0d6ac32a1f45f0eb637b0de358f46668b5
python_source,foresight_hil/models/torch_ensemble.py,7902,e4b6324fa39120553dfb0b123ad404c10178b875ce79d14273fdb8f6cdde9702
python_source,foresight_hil/oracle/__init__.py,74,ee35407775c5099e995fadcceb1bcfd398b028dcf33cae7e78b5f3a0b287a856
python_source,foresight_hil/oracle/robosuite_oracle.py,6676,889fe422fec7dd48285d3590b4fa3db25862ceaac97d15437fa7b059ab089af2
python_source,foresight_hil/oracle/scripted_human.py,4324,1428d46b270452cbe537fcbcff7bc4ea4e43c8106ad75a4d099a352d2550ec91
python_source,foresight_hil/training/__init__.py,537,3d5738fee7bec6a34b805327edf56a5bdfbe501449c8010791ab4c8f3ea6ba7e
python_source,foresight_hil/training/plasticity.py,10624,5af30ec58a0e4c034fc9b1ccf94a6256c285ab9034a7fdf90fb4a67aeeb146fe
paper_source,paper/.aris/traces/citation-audit/2026-07-02_run01/manual_audit_trace.md,1475,be85022a601358db7ba005b9c3a479545002281a192c84f49bc60dfaa6b6c553
paper_source,paper/CITATION_AUDIT.json,5413,668a0802056fc39cc226e9f7d90441583aee0f19596dbbe823a3ce9af024be40
paper_source,paper/CITATION_AUDIT.md,6797,acdc77b4aeb0a470c3b484c092b0359b51fa25fe83553d2548edf99d56a49bca
paper_source,paper/README.md,1329,ee37729f8a3fec90004f1d6aadc6d2d3dd84911b73680477ab6fa626192e4ef2
paper_source,paper/figures/TABLE_protocol_checklist.tex,1602,16e74d1fbe72c03cfb837da7ed899e663589280557c860a185da9c9e53c0d30f
paper_source,paper/figures/TABLE_registry_costmatched_results_r036.tex,723,f437fa8a45d3de8e76d5da944536a49bda02523f82a3236ae504470d5316d6ce
paper_source,paper/figures/TABLE_registry_trigger_repairs_r036.tex,548,1cfc17081c58231e4bcb2673c02321c5ed75606d2efae09d19e5cc9659a97650
paper_source,paper/main.tex,2869,687a2b1093a9deb2f4b5a95e71bf036165e8ae7add25f926c5bdec8f40cd4f7f
paper_source,paper/references.bib,6936,84fe0bb63d7686ff554a60ee24f6a6d2c641c12f7bb0ac9fcc4a7ad9ab3c1925
paper_source,paper/sections/01_introduction.tex,3706,b3b354661c10bb9ebffc66006597596549e66909b0ad6de11c2e796262256900
paper_source,paper/sections/02_related_work.tex,2125,55a41cc4b5d6fb5185dc5b78018678860bd57cb8db63fa76c80f663a166eaeb9
paper_source,paper/sections/03_protocol_setup.tex,4289,cf6e7ff580ee92bb40db1239986d42b4f93c273c5070d30947fe82ace670d285
paper_source,paper/sections/04_results.tex,4498,06a82ad16d06c07cd74546837127164e449f92f1e8648774585ea250dca5f6e1
paper_source,paper/sections/05_discussion.tex,3933,f50ca3b2c719507e852b4c867c03667635f93da2178f40c0eab03c5287018c55
paper_source,paper/sections/06_conclusion.tex,804,5b04febc2bf60bbc6cafcb0f754cb443da5f7d01490dc6317e6c6c0c040436dd
paper_source,paper/sections/07_reproducibility_inventory.tex,5218,a8c693bb2872b16c139a8d68a509c31a49996254ff1ae4704db6168ab024a5a0
paper_source,paper/sections/99_references.tex,4339,1fa5808868233817bac63687ecd99b3ac5a569713e2d2b29af15ac21ef5a4c6a
planning_logs,refine-logs/EXPERIMENT_PLAN.md,14765,ffc64753aa46628cd43de48ad75483f489d7f0e96330ecb66744a254fcaebe7d
planning_logs,refine-logs/EXPERIMENT_TRACKER.md,18262,e515f8bacf46f517e3cf5d55457f7de6c97e60d3902ce7f29e75ea41687aeda0
planning_logs,refine-logs/PROJECT_OPTIMIZATION_TARGETS.md,5076,42a54a2af8ce7b5924e9a38efe134898d6313ed30205ce95afb20588cbb82dc0
root_control,requirements.txt,1344,26ffe6fa5cf1256b7d2c47b749f4b1f41624c931b2c4174b6dd35cb310117f5e
evidence_registry,results/EXPERIMENT_EVIDENCE_REGISTRY.csv,10331,789a572aa69b342de868517765d9119166b12d9c130e8395dd406debad40214e
evidence_registry,results/EXPERIMENT_EVIDENCE_REGISTRY.md,4341,196b94bc9e5e1fa50610a60228b2d2c2c3eb6c3bcb3658621e22866c98d7be86
